id	cat_id	name
4	1	ActiveX
11	1	Attack_Response
3	1	Browser
14	1	Buffer_Overflow
5	1	Command_Execution
6	1	Cross_Site_Scripting
12	1	Denial_Of_Service
10	1	Directory_Traversal
18	1	DNS
8	1	File_Inclusion
16	1	Format_String
7	1	FTP
21	1	Linux
19	1	Mail
17	1	Misc
13	1	PDF
20	1	Samba
1	1	Shellcode
254	1	Shell_Banner
15	1	Spoofing
2	1	SQL_Injection
9	1	Windows
94	2	Account_Lockout
95	2	Account_Unlocked
89	2	Admin_Access
93	2	Auth_Required
22	2	Bruteforce
23	2	Bypass
26	2	Cleartext
29	2	Default_Credentials
28	2	Disclosure
214	2	Error
25	2	Failed
83	2	FTP_Login_Failed
82	2	FTP_Login_Succeeded
90	2	Group_Added
92	2	Group_Changed
91	2	Group_Deleted
24	2	Login
27	2	Logout
216	2	Misc
84	2	Password_Change_Failed
85	2	Password_Change_Succeeded
79	2	Policy_Added
80	2	Policy_Changed
81	2	Policy_Deleted
88	2	User_Changed
86	2	User_Created
87	2	User_Deleted
78	3	ACL_Deny
77	3	ACL_Permit
143	3	Connection_Closed
142	3	Connection_Opened
31	3	File_Access
131	3	File_Blocked
76	3	Firewall_Deny
121	3	Firewall_Misc_Event
75	3	Firewall_Permit
32	3	Misc
144	3	Timeout
119	3	Traffic_Inbound
120	3	Traffic_Outbound
133	3	Tunnel_Closed
132	3	Tunnel_Connection
30	3	Web_Application_Access
34	4	Adware
41	4	Backdoor
35	4	Fake_Antivirus
40	4	Generic
36	4	KeyLogger
340	4	Ransomware
33	4	Spyware
37	4	Trojan
38	4	Virus
96	4	Virus_Detected
39	4	Worm
45	5	Anonymity
211	5	Check_Failed
212	5	Check_Passed
46	5	Games
280	5	GroupOrder_Changed
276	5	HostGroup_Added
278	5	HostGroup_Deleted
277	5	HostGroup_Modified
258	5	Host_Added
259	5	Host_Deleted
260	5	Host_Modified
44	5	Instant_Messaging_Chat
264	5	Netgroup_Added
266	5	Netgroup_Deleted
265	5	Netgroup_Modified
261	5	Network_Added
263	5	Network_Deleted
262	5	Network_Modified
279	5	Order_Changed
47	5	Other
43	5	P2P
189	5	Phishing
42	5	Porn
273	5	PortGroup_Added
275	5	PortGroup_Deleted
274	5	PortGroup_Modified
267	5	Sensor_Added
269	5	Sensor_Deleted
268	5	Sensor_Modified
270	5	SignatureGroup_Added
272	5	SignatureGroup_Deleted
271	5	SignatureGroup_Modified
49	6	Application
51	6	DDoS
50	6	Flood
130	6	Other
48	6	Web_Application
54	7	Bad_Traffic
52	7	Blacklist_Address
60	7	Database_Activity
57	7	DNS_Activity
123	7	DNS_Protocol_Anomaly
128	7	FTP_Protocol_Anomaly
126	7	HTTP_Protocol_Anomaly
63	7	Mail_Activity
127	7	Mail_Protocol_Anomaly
61	7	Netbios_Activity
55	7	Network_Activity
122	7	Network_Anomaly
59	7	NFS_Activity
62	7	RPC_Activity
